SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
49,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_req_rd_byte_en_int[3:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
50,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_req_wr_byte_en_int[3:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
51,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_ba_err_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
52,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_req_addr_int[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
53,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_to_err_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
54,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.wrAddrGrayReg_sync[1:0],COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.wrAddrGrayReg_w[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
55,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.rdAddrGrayReg_sync[1:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.rdAddrGrayReg_r[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
56,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.wrAddrGrayReg_w[1:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
57,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.genblk2\.wrAddrReg_w[1:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
58,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.fifoMem[33:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
59,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.genblk2\.wrAddrGrayReg_sync[1:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.genblk2\.wrAddrGrayReg_w[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
60,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.genblk2\.rdAddrGrayReg_sync[1:0],COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.genblk2\.rdAddrGrayReg_r[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
61,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.MIV_opsrv_debug_transport_module_jtag_0.gen_shift_register_active_high\.gen_shift_register_active_low\.dtmcs_dmistat[3:0],COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.fifoMem[33:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
62,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.MIV_opsrv_debug_transport_module_jtag_0.gen_shift_register_active_high\.gen_shift_register_active_low\.shiftDMI[40:0],COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_resp_fifo.fifoMem[33:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
63,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
64,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
65,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
66,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
67,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
68,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
69,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
70,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
71,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
72,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
73,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
74,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
75,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
76,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
77,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
78,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
79,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
80,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
81,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
82,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
83,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
84,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
85,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
86,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_6,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
87,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
88,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
89,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
90,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
91,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
92,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
93,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
94,DDR3_0_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_5,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
95,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
96,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
97,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
98,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
99,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
100,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
101,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
102,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_0,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
103,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
104,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
105,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
106,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
107,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
108,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
109,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT3,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
110,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_7,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
111,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
112,DDR3_0_0.DDRPHY_BLK_0.LANE_0_IOD_DQ.I_IOD_4,DDR3_0_0/CCC_0/pll_inst_0/OUT2,DDR3_0_0/CCC_0/pll_inst_0/OUT1,DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.TIP_CTRL_BLK.iog_oe_p0[1:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
