
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_IOD_READ_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_CTRL_PF_LANECTRL, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_IOD_DM_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_IOD_DQSW_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_IOD_DQS_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_IOD_DQ_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 8
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_1_IOD_READ_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. DDR3_0_DLL_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. INIT_Monitor, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. INIT_Monitor_INIT_Monitor_0_PF_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. MIV_RV32_C1, 2411, 5899, 658, 0, 0, 32, 6, 0, 0
.	.	. MIV_RV32_C1_MIV_RV32_C1_0_MIV_RV32_Z82, 2411, 5899, 658, 0, 0, 32, 6, 0, 0
.	.	.	. miv_rv32_opsrv_Z80, 2411, 5899, 658, 0, 0, 32, 6, 0, 0
.	.	.	.	. miv_rv32_core_Z78, 826, 3220, 358, 0, 0, 0, 6, 0, 0
.	.	.	.	.	. miv_rv32_expipe_Z77, 584, 2519, 324, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. miv_rv32_bcu, 0, 48, 92, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_decode_1s_0s, 0, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_privarch_Z76, 260, 702, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_decode_0s_1, 0, 450, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_11, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_4, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_5, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_6, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_7, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_8, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_0s_0s_9, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_15, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_15_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_5, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_7, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_1, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_2, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_3, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_9_4, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_30s_1s_0s, 30, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_31s_0s_0s, 31, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_32s_0s_0s_0, 32, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_32s_0s_0s_1, 32, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_32s_1s_0_0, 31, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_32s_1s_0_1, 32, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_32s_1s_2147483648, 32, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_3s_1s_0s, 3, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_5s_1s_0, 5, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_priv_irq_8_0_0, 2, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. miv_rv32_irq_reg_0s, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. miv_rv32_irq_reg_0s_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_exu_1s_1s_1_0s_0s_0_0_0, 33, 851, 200, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_gpr_ram_0s_0, 12, 77, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. miv_rv32_gpr_ram_array_32s_5s_32s, 0, 6, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. miv_rv32_idecode_1_0s_0s, 0, 755, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_fetch_unit_32s_2147483648_3s_2s_3s_2s_2s_0s_1s, 220, 538, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_ifu_iab_32s_2s_3s_2s, 215, 268, 31, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_lsu_32s_2s_1s_2s_2s, 22, 163, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_mtime_irq_1s_1s_100s_1s_33603580_33570820, 160, 281, 160, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_opsrv_apb_mstr_32s_1s_1_0_1_2_3_4_5, 114, 171, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_rr_pri_arb_2s_1s_1s_0, 4, 19, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_opsrv_axi_mstr_32s_2s_1s_2s_1s_2s_1s, 519, 450, 84, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_axi_rchan_32s_2s_2s_1s_40s_39s_0_1_2_3, 236, 173, 42, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_axi_egress_slip_buffer_40s_0, 99, 80, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_buffer_40s_2s_1s_1s_0, 67, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_axi_ingress_buffer_39s_2s_1s_1s, 73, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_buffer_30s_2s_1s_1s, 63, 9, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_rr_pri_arb_2s_1s_1s_1, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_axi_wchan_32s_1s_2s_1s_40s_41s_0_1_2_3, 283, 267, 28, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_axi_egress_slip_buffer_40s_1, 102, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_buffer_40s_2s_1s_1s_1, 69, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_axi_egress_slip_buffer_41s, 117, 93, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_buffer_41s_2s_1s_1s, 79, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_buffer_29s_2s_1s_1s, 61, 9, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_rr_pri_arb_1s_1s_1s, 2, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_strb_to_addr_4s_2_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_strb_to_addr_4s_2_1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_opsrv_debug_1, 671, 1117, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_opsrv_debug_du, 378, 785, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_opsrv_debug_sba, 166, 716, 56, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_opsrv_debug_fifo_1s_34s_1s_0s_2s, 84, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_opsrv_debug_fifo_1s_41s_1s_0s_2s, 100, 99, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_opsrv_dtm_jtag_1, 109, 183, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_opsrv_interconnect_Z79, 51, 497, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_buffer_11s_2s_1s_1s, 21, 57, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_buffer_6s_2s_1s_1s, 13, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_opsrv_regs_12s_0s_1s_1s_4s_2s_1s, 17, 38, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_buffer_4s_2s_1s_1s, 13, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_opsrv_tcm_Z81, 70, 163, 0, 0, 0, 32, 0, 0, 0
.	.	.	.	.	. miv_rv32_ram_singleport_addreg_16384_28s_32s_1s_4s_4s, 0, 11, 0, 0, 0, 32, 0, 0, 0
.	.	.	.	.	. miv_rv32_rr_pri_arb_3s_1s_1s, 3, 10, 0, 0, 0, 0, 0, 0, 0
.	. SPI_Controller, 214, 306, 26, 0, 0, 0, 2, 0, 0
.	.	. CORESPI_Z84, 214, 306, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_32s_8s_32s_16s_0_0_1_0s, 214, 306, 26, 0, 0, 0, 2, 0, 0
.	.	.	.	. spi_chanctrl_Z83, 135, 146, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_control_8s, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_0, 18, 29, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_fifo_8s_32s_5_1, 18, 36, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	. spi_rf_32s_16s_0, 43, 76, 0, 0, 0, 0, 0, 0, 0
.	. UART_apb, 114, 134, 19, 0, 0, 0, 0, 0, 0
.	.	. UART_apb_UART_apb_0_CoreUARTapb_Z85, 114, 134, 19, 0, 0, 0, 0, 0, 0
.	.	.	. UART_apb_UART_apb_0_COREUART_0s_0s_0s_26s_0s_0s, 90, 107, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. UART_apb_UART_apb_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. UART_apb_UART_apb_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. UART_apb_UART_apb_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 22, 5, 0, 0, 0, 0, 0, 0
.	. reset_syn_0, 17, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. reset_syn_0_reset_syn_0_0_CORERESET_PF, 17, 2, 0, 0, 0, 0, 0, 1, 0
.	. reset_syn_1, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. reset_syn_1_reset_syn_1_0_CORERESET_PF, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	. scheduler_8s_4s_64s_3s, 380, 101, 672, 0, 0, 0, 0, 0, 0
